Time [s],Packet ID,MOSI,MISO
0.243316820,0,0x83,0x05
0.243322120,0,0x80,0x30
0.243327960,1,0x03,0x05
0.243333260,1,0x20,0x30
0.243345340,2,0x80,0x05
0.243347300,2,0x85,0x88
0.243349280,2,0x86,0x00
0.243351240,2,0x87,0x00
0.243353200,2,0x88,0x00
0.243355180,2,0x96,0x00
0.243357160,2,0x80,0x20
0.244382860,3,0x80,0x04
0.244384860,3,0x85,0x88
0.244386860,3,0x86,0x00
0.244388860,3,0x87,0x00
0.244390860,3,0x88,0x00
0.244392860,3,0x96,0x00
0.244394860,3,0x80,0x20
0.244965260,4,0x0B,0x04
0.244970540,4,0x70,0x70
0.244976260,5,0x83,0x04
0.244981560,5,0x80,0x20
0.244987400,6,0x03,0x04
0.244992680,6,0x30,0x20
0.351776300,8,0x83,0xC1
0.351781600,8,0x80,0x30
0.351787440,9,0x03,0xC1
0.351792740,9,0x20,0x30
0.351804900,10,0x80,0xC1
0.351806860,10,0x85,0x88
0.351808840,10,0x86,0x00
0.351810800,10,0x87,0x02
0.351812780,10,0x88,0x00
0.351814740,10,0x96,0x05
0.351816720,10,0x80,0x20
0.351837900,11,0x83,0x40
0.351843200,11,0x80,0x20
0.351849060,12,0x03,0x40
0.351854360,12,0x20,0x20
0.352784440,13,0x80,0x41
0.352786440,13,0x85,0x88
0.352788440,13,0x86,0x00
0.352790440,13,0x87,0x00
0.352792440,13,0x88,0x00
0.352794440,13,0x96,0x00
0.352796440,13,0x80,0x20
0.353784500,14,0x80,0x81
0.353786500,14,0x85,0x88
0.353788500,14,0x86,0x00
0.353790500,14,0x87,0x00
0.353792500,14,0x88,0x00
0.353794500,14,0x96,0x01
0.353796500,14,0x80,0x20
0.354784660,15,0x80,0x03
0.354786660,15,0x85,0x88
0.354788660,15,0x86,0x00
0.354790660,15,0x87,0x00
0.354792660,15,0x88,0x00
0.354794660,15,0x96,0x00
0.354796660,15,0x80,0x20
0.355784720,16,0x80,0x83
0.355786720,16,0x85,0x88
0.355788720,16,0x86,0x00
0.355790720,16,0x87,0x00
0.355792720,16,0x88,0x00
0.355794720,16,0x96,0x01
0.355796720,16,0x80,0x20
0.356784880,17,0x80,0x83
0.356786880,17,0x85,0x88
0.356788880,17,0x86,0x00
0.356790880,17,0x87,0x01
0.356792900,17,0x88,0x00
0.356794900,17,0x96,0x00
0.356796900,17,0x80,0x20
0.357785000,18,0x80,0x83
0.357787000,18,0x85,0x88
0.357789000,18,0x86,0x00
0.357791000,18,0x87,0x00
0.357793000,18,0x88,0x00
0.357795000,18,0x96,0x01
0.357797000,18,0x80,0x20
0.358785100,19,0x80,0x03
0.358787120,19,0x85,0x88
0.358789120,19,0x86,0x00
0.358791120,19,0x87,0x00
0.358793120,19,0x88,0x00
0.358795120,19,0x96,0x00
0.358797120,19,0x80,0x20
0.359785160,20,0x80,0x83
0.359787160,20,0x85,0x88
0.359789160,20,0x86,0x00
0.359791160,20,0x87,0x01
0.359793160,20,0x88,0x00
0.359795160,20,0x96,0x01
0.359797160,20,0x80,0x20
0.360785340,21,0x80,0x03
0.360787340,21,0x85,0x88
0.360789340,21,0x86,0x00
0.360791340,21,0x87,0x00
0.360793340,21,0x88,0x00
0.360795340,21,0x96,0x00
0.360797340,21,0x80,0x20
0.361785380,22,0x80,0x83
0.361787380,22,0x85,0x88
0.361789380,22,0x86,0x00
0.361791380,22,0x87,0x00
0.361793380,22,0x88,0x00
0.361795380,22,0x96,0x01
0.361797380,22,0x80,0x20
0.362785560,23,0x80,0x03
0.362787560,23,0x85,0x88
0.362789560,23,0x86,0x00
0.362791560,23,0x87,0x00
0.362793560,23,0x88,0x00
0.362795560,23,0x96,0x00
0.362797560,23,0x80,0x20
0.363785600,24,0x80,0x83
0.363787600,24,0x85,0x88
0.363789600,24,0x86,0x00
