Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.27286712, 1, 0, 0, 0
0.27286724, 0, 0, 0, 0
0.27286736, 1, 0, 0, 0
0.27286748, 0, 0, 0, 0
0.27286752, 0, 0, 1, 0
0.27286760, 1, 0, 1, 0
0.27286774, 0, 0, 1, 0
0.27286776, 0, 0, 0, 0
0.27286786, 1, 0, 0, 0
0.27286798, 0, 0, 0, 0
0.27286810, 1, 0, 0, 0
0.27286822, 0, 0, 0, 0
0.27286834, 1, 0, 0, 0
0.27286848, 0, 0, 0, 0
0.27286850, 0, 0, 1, 0
0.27286860, 1, 0, 1, 0
0.27286872, 0, 0, 1, 0
0.27286874, 0, 0, 0, 0
0.27286884, 1, 0, 0, 0
0.27286896, 0, 0, 0, 0
0.27286908, 1, 0, 0, 0
0.27286920, 0, 0, 0, 0
0.27286924, 0, 0, 1, 0
0.27286934, 1, 0, 1, 0
0.27286946, 0, 0, 1, 0
0.27286948, 0, 0, 0, 0
0.27286958, 1, 0, 0, 0
0.27286970, 0, 0, 0, 0
0.27286972, 0, 0, 1, 0
0.27286982, 1, 0, 1, 0
0.27286994, 0, 0, 1, 0
0.27287006, 1, 0, 1, 0
0.27287020, 0, 0, 1, 0
0.27287022, 0, 0, 0, 0
0.27287032, 1, 0, 0, 0
0.27287044, 0, 0, 0, 0
0.27287046, 0, 0, 1, 0
0.27287056, 1, 0, 1, 0
0.27287068, 0, 0, 1, 0
0.27287072, 0, 0, 0, 0
0.27287080, 1, 0, 0, 0
0.27287094, 0, 1, 0, 0
0.27287106, 1, 1, 0, 0
0.27287118, 0, 1, 0, 0
0.27287120, 0, 0, 0, 0
0.27287130, 1, 0, 0, 0
0.27287142, 0, 0, 0, 0
0.27287154, 1, 0, 0, 0
0.27287168, 0, 0, 0, 0
0.27287180, 1, 0, 0, 0
0.27287192, 0, 0, 0, 0
0.27287204, 1, 0, 0, 0
0.27287216, 0, 0, 0, 0
0.27287228, 1, 0, 0, 0
0.27287414, 1, 0, 0, 1
0.27389280, 1, 0, 0, 0
0.27389540, 0, 0, 0, 0
0.27389542, 0, 0, 1, 0
0.27389552, 1, 0, 1, 0
0.27389564, 0, 0, 1, 0
0.27389566, 0, 0, 0, 0
0.27389576, 1, 0, 0, 0
0.27389590, 0, 0, 0, 0
0.27389602, 1, 0, 0, 0
0.27389614, 0, 0, 0, 0
0.27389626, 1, 0, 0, 0
0.27389640, 0, 0, 0, 0
0.27389652, 1, 0, 0, 0
0.27389664, 0, 0, 0, 0
0.27389666, 0, 1, 0, 0
0.27389676, 1, 1, 0, 0
0.27389690, 0, 0, 0, 0
0.27389702, 1, 0, 0, 0
0.27389714, 0, 0, 0, 0
0.27389726, 1, 0, 0, 0
0.27389740, 0, 1, 0, 0
0.27389742, 0, 1, 1, 0
0.27389752, 1, 1, 1, 0
0.27389764, 0, 1, 1, 0
0.27389766, 0, 0, 0, 0
0.27389776, 1, 0, 0, 0
0.27389790, 0, 0, 0, 0
