Time[s], Channel 0, Channel 1, Channel 2, Channel 3, button 5 (dpi)
-0.00437516, 1, 0, 0, 0, 1
-0.00437328, 1, 0, 0, 1, 1
-0.00339160, 1, 0, 0, 0, 1
-0.00338900, 0, 0, 0, 0, 1
-0.00338896, 0, 0, 1, 0, 1
-0.00338886, 1, 0, 1, 0, 1
-0.00338874, 0, 0, 1, 0, 1
-0.00338872, 0, 0, 0, 0, 1
-0.00338862, 1, 0, 0, 0, 1
-0.00338850, 0, 0, 0, 0, 1
-0.00338836, 1, 0, 0, 0, 1
-0.00338824, 0, 0, 0, 0, 1
-0.00338812, 1, 0, 0, 0, 1
-0.00338800, 0, 0, 0, 0, 1
-0.00338786, 1, 0, 0, 0, 1
-0.00338774, 0, 0, 0, 0, 1
-0.00338762, 1, 0, 0, 0, 1
-0.00338750, 0, 0, 0, 0, 1
-0.00338748, 0, 1, 0, 0, 1
-0.00338736, 1, 1, 0, 0, 1
-0.00338724, 0, 1, 0, 0, 1
-0.00338712, 1, 1, 0, 0, 1
-0.00338700, 0, 1, 0, 0, 1
-0.00338696, 0, 1, 1, 0, 1
-0.00338686, 1, 1, 1, 0, 1
-0.00338674, 0, 0, 1, 0, 1
-0.00338672, 0, 0, 0, 0, 1
-0.00338662, 1, 0, 0, 0, 1
-0.00338650, 0, 0, 0, 0, 1
-0.00338636, 1, 0, 0, 0, 1
-0.00338624, 0, 0, 0, 0, 1
-0.00338612, 1, 0, 0, 0, 1
-0.00338600, 0, 0, 0, 0, 1
-0.00338598, 0, 1, 0, 0, 1
-0.00338586, 1, 1, 0, 0, 1
-0.00338574, 0, 0, 0, 0, 1
-0.00338572, 0, 0, 1, 0, 1
-0.00338562, 1, 0, 1, 0, 1
-0.00338550, 0, 0, 1, 0, 1
-0.00338546, 0, 0, 0, 0, 1
-0.00338536, 1, 0, 0, 0, 1
-0.00338524, 0, 0, 0, 0, 1
-0.00338522, 0, 0, 1, 0, 1
-0.00338512, 1, 0, 1, 0, 1
-0.00338500, 0, 0, 1, 0, 1
-0.00338486, 1, 0, 1, 0, 1
-0.00338474, 0, 0, 1, 0, 1
-0.00338472, 0, 0, 0, 0, 1
-0.00338462, 1, 0, 0, 0, 1
-0.00338450, 0, 0, 0, 0, 1
-0.00338436, 1, 0, 0, 0, 1
-0.00338424, 0, 0, 0, 0, 1
-0.00338412, 1, 0, 0, 0, 1
-0.00338400, 0, 0, 0, 0, 1
-0.00338386, 1, 0, 0, 0, 1
-0.00338374, 0, 0, 0, 0, 1
-0.00338372, 0, 0, 1, 0, 1
-0.00338362, 1, 0, 1, 0, 1
-0.00338350, 0, 0, 1, 0, 1
-0.00338336, 1, 0, 1, 0, 1
-0.00338324, 0, 0, 1, 0, 1
-0.00338322, 0, 0, 0, 0, 1
-0.00338312, 1, 0, 0, 0, 1
-0.00338300, 0, 0, 0, 0, 1
-0.00338296, 0, 0, 1, 0, 1
-0.00338286, 1, 0, 1, 0, 1
-0.00338274, 0, 0, 1, 0, 1
-0.00338272, 0, 0, 0, 0, 1
-0.00338262, 1, 0, 0, 0, 1
-0.00338250, 0, 0, 0, 0, 1
-0.00338236, 1, 0, 0, 0, 1
-0.00338224, 0, 0, 0, 0, 1
-0.00338212, 1, 0, 0, 0, 1
-0.00338200, 0, 0, 0, 0, 1
-0.00338186, 1, 0, 0, 0, 1
-0.00338174, 0, 0, 0, 0, 1
-0.00338172, 0, 0, 1, 0, 1
-0.00338162, 1, 0, 1, 0, 1
-0.00338150, 0, 0, 1, 0, 1
-0.00338136, 1, 0, 1, 0, 1
-0.00338124, 0, 0, 1, 0, 1
-0.00338112, 1, 0, 1, 0, 1
-0.00338100, 0, 0, 1, 0, 1
-0.00338086, 1, 0, 1, 0, 1
-0.00338074, 0, 0, 1, 0, 1
-0.00338072, 0, 0, 0, 0, 1
-0.00338062, 1, 0, 0, 0, 1
-0.00338050, 0, 0, 0, 0, 1
-0.00338036, 1, 0, 0, 0, 1
-0.00338024, 0, 0, 0, 0, 1
-0.00338012, 1, 0, 0, 0, 1
-0.00338000, 0, 0, 0, 0, 1
-0.00337996, 0, 0, 1, 0, 1
-0.00337986, 1, 0, 1, 0, 1
-0.00337974, 0, 0, 1, 0, 1
-0.00337972, 0, 0, 0, 0, 1
-0.00337962, 1, 0, 0, 0, 1
-0.00337950, 0, 0, 0, 0, 1
-0.00337936, 1, 0, 0, 0, 1
-0.00337924, 0, 0, 0, 0, 1
-0.00337912, 1, 0, 0, 0, 1
-0.00337900, 0, 0, 0, 0, 1
-0.00337896, 0, 0, 1, 0, 1
-0.00337886, 1, 0, 1, 0, 1
-0.00337874, 0, 0, 1, 0, 1
-0.00337872, 0, 0, 0, 0, 1
-0.00337862, 1, 0, 0, 0, 1
-0.00337850, 0, 0, 0, 0, 1
-0.00337836, 1, 0, 0, 0, 1
-0.00337824, 0, 0, 0, 0, 1
-0.00337822, 0, 0, 1, 0, 1
-0.00337812, 1, 0, 1, 0, 1
-0.00337800, 0, 0, 1, 0, 1
-0.00337796, 0, 0, 0, 0, 1
-0.00337786, 1, 0, 0, 0, 1
-0.00337774, 0, 0, 0, 0, 1
-0.00337772, 0, 0, 1, 0, 1
-0.00337762, 1, 0, 1, 0, 1
-0.00337750, 0, 0, 1, 0, 1
-0.00337736, 1, 0, 1, 0, 1
-0.00337724, 0, 0, 1, 0, 1
-0.00337722, 0, 0, 0, 0, 1
-0.00337712, 1, 0, 0, 0, 1
-0.00337700, 0, 0, 0, 0, 1
-0.00337696, 0, 0, 1, 0, 1
-0.00337686, 1, 0, 1, 0, 1
-0.00337674, 0, 0, 1, 0, 1
-0.00337672, 0, 0, 0, 0, 1
-0.00337662, 1, 0, 0, 0, 1
-0.00337650, 0, 0, 0, 0, 1
-0.00337648, 0, 1, 0, 0, 1
-0.00337636, 1, 1, 0, 0, 1
-0.00337624, 0, 1, 0, 0, 1
-0.00337622, 0, 0, 0, 0, 1
-0.00337612, 1, 0, 0, 0, 1
-0.00337600, 0, 0, 0, 0, 1
-0.00337586, 1, 0, 0, 0, 1
-0.00337574, 0, 0, 0, 0, 1
-0.00337562, 1, 0, 0, 0, 1
-0.00337550, 0, 0, 0, 0, 1
-0.00337536, 1, 0, 0, 0, 1
-0.00337524, 0, 0, 0, 0, 1
-0.00337512, 1, 0, 0, 0, 1
-0.00337324, 1, 0, 0, 1, 1
-0.00239148, 1, 0, 0, 0, 1
-0.00239146, 1, 1, 0, 0, 1
-0.00238888, 0, 1, 0, 0, 1
-0.00238886, 0, 1, 1, 0, 1
-0.00238876, 1, 1, 1, 0, 1
-0.00238864, 0, 1, 1, 0, 1
-0.00238862, 0, 0, 1, 0, 1
-0.00238860, 0, 0, 0, 0, 1
-0.00238850, 1, 0, 0, 0, 1
-0.00238838, 0, 0, 0, 0, 1
-0.00238826, 1, 0, 0, 0, 1
-0.00238814, 0, 0, 0, 0, 1
-0.00238800, 1, 0, 0, 0, 1
-0.00238788, 0, 0, 0, 0, 1
-0.00238776, 1, 0, 0, 0, 1
-0.00238764, 0, 0, 0, 0, 1
-0.00238750, 1, 0, 0, 0, 1
-0.00238738, 0, 0, 0, 0, 1
-0.00238736, 0, 1, 0, 0, 1
-0.00238726, 1, 1, 0, 0, 1
-0.00238714, 0, 1, 0, 0, 1
-0.00238700, 1, 1, 0, 0, 1
-0.00238688, 0, 1, 0, 0, 1
-0.00238686, 0, 1, 1, 0, 1
-0.00238676, 1, 1, 1, 0, 1
-0.00238664, 0, 1, 1, 0, 1
-0.00238662, 0, 0, 1, 0, 1
-0.00238660, 0, 0, 0, 0, 1
-0.00238650, 1, 0, 0, 0, 1
-0.00238638, 0, 0, 0, 0, 1
-0.00238626, 1, 0, 0, 0, 1
-0.00238614, 0, 0, 0, 0, 1
-0.00238600, 1, 0, 0, 0, 1
-0.00238588, 0, 0, 0, 0, 1
-0.00238586, 0, 1, 0, 0, 1
-0.00238576, 1, 1, 0, 0, 1
-0.00238564, 0, 1, 0, 0, 1
-0.00238562, 0, 0, 0, 0, 1
-0.00238560, 0, 0, 1, 0, 1
-0.00238550, 1, 0, 1, 0, 1
-0.00238538, 0, 0, 1, 0, 1
-0.00238536, 0, 0, 0, 0, 1
-0.00238526, 1, 0, 0, 0, 1
-0.00238514, 0, 0, 0, 0, 1
-0.00238510, 0, 0, 1, 0, 1
-0.00238500, 1, 0, 1, 0, 1
-0.00238488, 0, 0, 1, 0, 1
-0.00238476, 1, 0, 1, 0, 1
-0.00238464, 0, 0, 1, 0, 1
-0.00238460, 0, 0, 0, 0, 1
-0.00238450, 1, 0, 0, 0, 1
-0.00238438, 0, 0, 0, 0, 1
-0.00238426, 1, 0, 0, 0, 1
-0.00238414, 0, 0, 0, 0, 1
-0.00238400, 1, 0, 0, 0, 1
-0.00238388, 0, 0, 0, 0, 1
-0.00238376, 1, 0, 0, 0, 1
-0.00238364, 0, 0, 0, 0, 1
-0.00238360, 0, 0, 1, 0, 1
-0.00238350, 1, 0, 1, 0, 1
-0.00238338, 0, 0, 1, 0, 1
-0.00238326, 1, 0, 1, 0, 1
-0.00238314, 0, 0, 1, 0, 1
-0.00238310, 0, 0, 0, 0, 1
-0.00238300, 1, 0, 0, 0, 1
-0.00238288, 0, 0, 0, 0, 1
-0.00238286, 0, 0, 1, 0, 1
-0.00238276, 1, 0, 1, 0, 1
-0.00238264, 0, 0, 1, 0, 1
-0.00238260, 0, 0, 0, 0, 1
-0.00238250, 1, 0, 0, 0, 1
-0.00238238, 0, 0, 0, 0, 1
-0.00238226, 1, 0, 0, 0, 1
-0.00238214, 0, 0, 0, 0, 1
-0.00238200, 1, 0, 0, 0, 1
-0.00238188, 0, 0, 0, 0, 1
-0.00238176, 1, 0, 0, 0, 1
-0.00238164, 0, 0, 0, 0, 1
-0.00238160, 0, 0, 1, 0, 1
-0.00238150, 1, 0, 1, 0, 1
-0.00238138, 0, 0, 1, 0, 1
-0.00238126, 1, 0, 1, 0, 1
-0.00238114, 0, 0, 1, 0, 1
-0.00238112, 0, 1, 1, 0, 1
-0.00238100, 1, 1, 1, 0, 1
-0.00238088, 0, 1, 1, 0, 1
-0.00238076, 1, 1, 1, 0, 1
-0.00238064, 0, 1, 1, 0, 1
-0.00238060, 0, 1, 0, 0, 1
-0.00238050, 1, 1, 0, 0, 1
-0.00238038, 0, 1, 0, 0, 1
-0.00238026, 1, 1, 0, 0, 1
-0.00238014, 0, 1, 0, 0, 1
-0.00238000, 1, 1, 0, 0, 1
-0.00237988, 0, 1, 0, 0, 1
-0.00237986, 0, 1, 1, 0, 1
-0.00237976, 1, 1, 1, 0, 1
-0.00237964, 0, 1, 1, 0, 1
-0.00237960, 0, 1, 0, 0, 1
-0.00237950, 1, 1, 0, 0, 1
-0.00237938, 0, 1, 0, 0, 1
-0.00237926, 1, 1, 0, 0, 1
-0.00237914, 0, 1, 0, 0, 1
-0.00237900, 1, 1, 0, 0, 1
-0.00237888, 0, 1, 0, 0, 1
-0.00237886, 0, 1, 1, 0, 1
-0.00237876, 1, 1, 1, 0, 1
-0.00237864, 0, 1, 1, 0, 1
-0.00237860, 0, 1, 0, 0, 1
-0.00237850, 1, 1, 0, 0, 1
-0.00237838, 0, 1, 0, 0, 1
-0.00237826, 1, 1, 0, 0, 1
-0.00237814, 0, 1, 0, 0, 1
-0.00237810, 0, 1, 1, 0, 1
-0.00237800, 1, 1, 1, 0, 1
-0.00237788, 0, 1, 1, 0, 1
-0.00237786, 0, 1, 0, 0, 1
-0.00237776, 1, 1, 0, 0, 1
-0.00237764, 0, 1, 0, 0, 1
-0.00237760, 0, 1, 1, 0, 1
-0.00237750, 1, 1, 1, 0, 1
-0.00237738, 0, 1, 1, 0, 1
-0.00237726, 1, 1, 1, 0, 1
-0.00237714, 0, 1, 1, 0, 1
-0.00237710, 0, 1, 0, 0, 1
-0.00237700, 1, 1, 0, 0, 1
-0.00237688, 0, 1, 0, 0, 1
-0.00237686, 0, 0, 1, 0, 1
-0.00237676, 1, 0, 1, 0, 1
-0.00237664, 0, 0, 1, 0, 1
