Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.00098710, 0, 0, 0, 0
0.00098722, 1, 0, 0, 0
0.00098734, 0, 0, 0, 0
0.00098736, 0, 1, 0, 0
0.00098746, 1, 1, 0, 0
0.00098760, 0, 0, 0, 0
0.00098762, 0, 0, 1, 0
0.00098772, 1, 0, 1, 0
0.00098784, 0, 0, 1, 0
0.00098786, 0, 0, 0, 0
0.00098796, 1, 0, 0, 0
0.00098810, 0, 0, 0, 0
0.00098812, 0, 0, 1, 0
0.00098822, 1, 0, 1, 0
0.00098834, 0, 0, 1, 0
0.00098846, 1, 0, 1, 0
0.00098860, 0, 0, 1, 0
0.00098862, 0, 0, 0, 0
0.00098872, 1, 0, 0, 0
0.00098884, 0, 0, 0, 0
0.00098896, 1, 0, 0, 0
0.00098910, 0, 0, 0, 0
0.00098922, 1, 0, 0, 0
0.00098934, 0, 0, 0, 0
0.00098946, 1, 0, 0, 0
0.00098960, 0, 0, 0, 0
0.00098962, 0, 0, 1, 0
0.00098972, 1, 0, 1, 0
0.00098984, 0, 0, 1, 0
0.00098996, 1, 0, 1, 0
0.00099010, 0, 0, 1, 0
0.00099012, 0, 0, 0, 0
0.00099022, 1, 0, 0, 0
0.00099034, 0, 0, 0, 0
0.00099036, 0, 0, 1, 0
0.00099046, 1, 0, 1, 0
0.00099060, 0, 0, 1, 0
0.00099062, 0, 0, 0, 0
0.00099072, 1, 0, 0, 0
0.00099084, 0, 0, 0, 0
0.00099096, 1, 0, 0, 0
0.00099110, 0, 0, 0, 0
0.00099122, 1, 0, 0, 0
0.00099134, 0, 0, 0, 0
0.00099146, 1, 0, 0, 0
0.00099160, 0, 0, 0, 0
0.00099162, 0, 0, 1, 0
0.00099172, 1, 0, 1, 0
0.00099184, 0, 0, 1, 0
0.00099196, 1, 0, 1, 0
0.00099210, 0, 0, 1, 0
0.00099222, 1, 0, 1, 0
0.00099234, 0, 0, 1, 0
0.00099246, 1, 0, 1, 0
0.00099260, 0, 0, 1, 0
0.00099262, 0, 0, 0, 0
0.00099272, 1, 0, 0, 0
0.00099284, 0, 0, 0, 0
0.00099296, 1, 0, 0, 0
0.00099310, 0, 0, 0, 0
0.00099322, 1, 0, 0, 0
0.00099334, 0, 0, 0, 0
0.00099336, 0, 0, 1, 0
0.00099346, 1, 0, 1, 0
0.00099360, 0, 0, 1, 0
0.00099362, 0, 0, 0, 0
0.00099372, 1, 0, 0, 0
0.00099384, 0, 0, 0, 0
0.00099396, 1, 0, 0, 0
0.00099410, 0, 0, 0, 0
0.00099422, 1, 0, 0, 0
0.00099434, 0, 0, 0, 0
0.00099438, 0, 0, 1, 0
0.00099446, 1, 0, 1, 0
0.00099460, 0, 0, 1, 0
0.00099462, 0, 0, 0, 0
0.00099472, 1, 0, 0, 0
0.00099484, 0, 0, 0, 0
0.00099496, 1, 0, 0, 0
0.00099510, 0, 0, 0, 0
0.00099512, 0, 0, 1, 0
0.00099522, 1, 0, 1, 0
0.00099534, 0, 0, 1, 0
0.00099536, 0, 0, 0, 0
0.00099546, 1, 0, 0, 0
0.00099560, 0, 0, 0, 0
0.00099562, 0, 0, 1, 0
0.00099572, 1, 0, 1, 0
0.00099584, 0, 0, 1, 0
0.00099596, 1, 0, 1, 0
0.00099610, 0, 0, 1, 0
0.00099612, 0, 0, 0, 0
0.00099622, 1, 0, 0, 0
0.00099634, 0, 0, 0, 0
0.00099638, 0, 0, 1, 0
0.00099646, 1, 0, 1, 0
0.00099660, 0, 0, 1, 0
0.00099662, 0, 0, 0, 0
0.00099672, 1, 0, 0, 0
0.00099684, 0, 0, 0, 0
0.00099686, 0, 1, 0, 0
0.00099696, 1, 1, 0, 0
0.00099710, 0, 0, 0, 0
0.00099722, 1, 0, 0, 0
0.00099734, 0, 0, 0, 0
0.00099748, 1, 0, 0, 0
0.00099760, 0, 0, 0, 0
0.00099772, 1, 0, 0, 0
0.00099784, 0, 0, 0, 0
0.00099798, 1, 0, 0, 0
0.00099810, 0, 0, 0, 0
0.00099822, 1, 0, 0, 0
0.00100010, 1, 0, 0, 1
0.00198186, 1, 0, 0, 0
0.00198446, 0, 0, 0, 0
0.00198448, 0, 0, 1, 0
0.00198458, 1, 0, 1, 0
0.00198470, 0, 0, 1, 0
0.00198472, 0, 0, 0, 0
0.00198482, 1, 0, 0, 0
0.00198496, 0, 0, 0, 0
0.00198508, 1, 0, 0, 0
0.00198520, 0, 0, 0, 0
0.00198532, 1, 0, 0, 0
0.00198546, 0, 0, 0, 0
0.00198558, 1, 0, 0, 0
0.00198570, 0, 0, 0, 0
0.00198582, 1, 0, 0, 0
0.00198596, 0, 1, 0, 0
0.00198608, 1, 1, 0, 0
0.00198620, 0, 1, 0, 0
0.00198632, 1, 1, 0, 0
0.00198646, 0, 1, 0, 0
0.00198648, 0, 1, 1, 0
0.00198658, 1, 1, 1, 0
0.00198670, 0, 1, 1, 0
0.00198672, 0, 0, 0, 0
0.00198682, 1, 0, 0, 0
0.00198696, 0, 0, 0, 0
0.00198708, 1, 0, 0, 0
0.00198720, 0, 0, 0, 0
0.00198732, 1, 0, 0, 0
0.00198746, 0, 1, 0, 0
0.00198758, 1, 1, 0, 0
0.00198770, 0, 1, 0, 0
0.00198772, 0, 0, 1, 0
0.00198782, 1, 0, 1, 0
0.00198796, 0, 0, 1, 0
0.00198798, 0, 0, 0, 0
0.00198808, 1, 0, 0, 0
0.00198820, 0, 0, 0, 0
0.00198822, 0, 0, 1, 0
0.00198832, 1, 0, 1, 0
0.00198846, 0, 0, 1, 0
0.00198858, 1, 0, 1, 0
0.00198870, 0, 0, 1, 0
0.00198872, 0, 0, 0, 0
0.00198882, 1, 0, 0, 0
0.00198896, 0, 0, 0, 0
0.00198908, 1, 0, 0, 0
0.00198920, 0, 0, 0, 0
0.00198932, 1, 0, 0, 0
0.00198946, 0, 0, 0, 0
0.00198958, 1, 0, 0, 0
0.00198970, 0, 0, 0, 0
0.00198972, 0, 0, 1, 0
0.00198982, 1, 0, 1, 0
0.00198996, 0, 0, 1, 0
0.00199008, 1, 0, 1, 0
0.00199020, 0, 0, 1, 0
0.00199022, 0, 0, 0, 0
0.00199032, 1, 0, 0, 0
0.00199046, 0, 0, 0, 0
0.00199048, 0, 0, 1, 0
0.00199058, 1, 0, 1, 0
0.00199070, 0, 0, 1, 0
0.00199074, 0, 0, 0, 0
0.00199082, 1, 0, 0, 0
0.00199096, 0, 0, 0, 0
0.00199108, 1, 0, 0, 0
0.00199120, 0, 0, 0, 0
0.00199132, 1, 0, 0, 0
0.00199146, 0, 0, 0, 0
0.00199158, 1, 0, 0, 0
0.00199170, 0, 0, 0, 0
0.00199174, 0, 0, 1, 0
0.00199182, 1, 0, 1, 0
0.00199196, 0, 0, 1, 0
0.00199208, 1, 0, 1, 0
0.00199220, 0, 0, 1, 0
0.00199232, 1, 0, 1, 0
0.00199246, 0, 0, 1, 0
0.00199258, 1, 0, 1, 0
0.00199270, 0, 0, 1, 0
0.00199272, 0, 0, 0, 0
0.00199282, 1, 0, 0, 0
0.00199296, 0, 0, 0, 0
0.00199308, 1, 0, 0, 0
0.00199320, 0, 0, 0, 0
0.00199332, 1, 0, 0, 0
0.00199346, 0, 0, 0, 0
0.00199348, 0, 0, 1, 0
0.00199358, 1, 0, 1, 0
0.00199370, 0, 0, 1, 0
0.00199374, 0, 0, 0, 0
