Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.24335394, 0, 0, 0, 0
0.24335408, 1, 0, 0, 0
0.24335420, 0, 0, 0, 0
0.24335422, 0, 0, 1, 0
0.24335432, 1, 0, 1, 0
0.24335444, 0, 0, 1, 0
0.24335446, 0, 0, 0, 0
0.24335456, 1, 0, 0, 0
0.24335468, 0, 0, 0, 0
0.24335480, 1, 0, 0, 0
0.24335494, 0, 0, 0, 0
0.24335506, 1, 0, 0, 0
0.24335518, 0, 0, 0, 0
0.24335520, 0, 0, 1, 0
0.24335530, 1, 0, 1, 0
0.24335542, 0, 0, 1, 0
0.24335546, 0, 0, 0, 0
0.24335554, 1, 0, 0, 0
0.24335568, 0, 0, 0, 0
0.24335580, 1, 0, 0, 0
0.24335592, 0, 0, 0, 0
0.24335594, 0, 0, 1, 0
0.24335604, 1, 0, 1, 0
0.24335616, 0, 0, 1, 0
0.24335618, 0, 0, 0, 0
0.24335628, 1, 0, 0, 0
0.24335642, 0, 0, 0, 0
0.24335644, 0, 0, 1, 0
0.24335654, 1, 0, 1, 0
0.24335666, 0, 0, 1, 0
0.24335678, 1, 0, 1, 0
0.24335690, 0, 0, 1, 0
0.24335692, 0, 0, 0, 0
0.24335702, 1, 0, 0, 0
0.24335716, 0, 0, 0, 0
0.24335718, 0, 0, 1, 0
0.24335728, 1, 0, 1, 0
0.24335740, 0, 0, 1, 0
0.24335742, 0, 0, 0, 0
0.24335752, 1, 0, 0, 0
0.24335764, 0, 0, 0, 0
0.24335766, 0, 1, 0, 0
0.24335776, 1, 1, 0, 0
0.24335788, 0, 1, 0, 0
0.24335790, 0, 0, 0, 0
0.24335802, 1, 0, 0, 0
0.24335814, 0, 0, 0, 0
0.24335826, 1, 0, 0, 0
0.24335838, 0, 0, 0, 0
0.24335850, 1, 0, 0, 0
0.24335862, 0, 0, 0, 0
0.24335876, 1, 0, 0, 0
0.24335888, 0, 0, 0, 0
0.24335900, 1, 0, 0, 0
0.24336086, 1, 0, 0, 1
0.24438026, 1, 0, 0, 0
0.24438286, 0, 0, 0, 0
0.24438288, 0, 0, 1, 0
0.24438298, 1, 0, 1, 0
